Cochrane PubMed ID,Question,Answer,Evidence Quality,Relevant Cited PubMed IDs,Open-Access Full-text Needed,Comment
28334427,"Is the rate of hypotension higher, lower, or the same when comparing capnography to standard monitoring?",no difference,moderate,27006732,no,
25280769,"Is the risk of HIV transmission at 12 months higher, lower, or the same when comparing triple antiretroviral prophylaxis during pregnancy and breastfeeding to short antiretroviral prophylaxis?",lower,low,21237718,no,
25280769,"Is the risk of infant HIV infection higher, lower, or the same when comparing zidovudine, lamivudine, and lopinavir/ritonavir to zidovudine, lamivudine, and abacavir from 26‐34 weeks gestation through six months of breastfeeding?",no difference,n/a,20554983,no,
25280769,"Is the risk of infant mortality after 12 months higher, lower, or the same when comparing six weeks of infant nevirapine to single dose infant nevirapine?",lower,moderate,21330912,no,
26447539,"Is fatigue severity higher, lower, or the same when comparing doxepin to placebo?",insufficient data,low,23561946,no,
26447539,"Is the progression of physical aspects of fatigue higher, lower, or the same when comparing rasagiline to placebo?",lower,high,21482191,no,
26447539,"Is subjective fatigue higher, lower, or the same when comparing modafinil to placebo?",no difference,n/a,"19620846, 16291885",no,
26447539,"Is fatigue severity higher, lower, or the same when comparing exercise to usual care?",no difference,low," 22257506,  21953509",no,
26447539,"Is subjective fatigue higher, lower, or the same when comparing memantine to placebo?",no difference,moderate,21193343,no,
26447539,"Is subjective fatigue higher, lower, or the same when comparing methylphenidate to placebo?",no difference,moderate,17674415,no,cochrane authors disagree with paper authors
25280769,"Is the risk of infant HIV infection or death after 12 months higher, lower, or the same when comparing six weeks of infant nevirapine to single dose infant nevirapine?",no difference,moderate,21330912,no,
25280769,"Is the risk of infant HIV infection after 12 months higher, lower, or the same when comparing six weeks of infant nevirapine to single dose infant nevirapine?",no difference,moderate,21330912,no,
25280769,"Is the risk of HIV transmission at 24 months higher, lower, or the same when comparing nevirapine up to 14 weeks plus one week zidovudine to only single dose nevirapine plus one week zidovudine?",lower,moderate,21423025,no,
25280769,"Is the risk of HIV transmission or death at 24 months higher, lower, or the same when comparing nevirapine up to 14 weeks plus one week zidovudine to only single dose nevirapine plus one week zidovudine?",lower,moderate,21423025,no,
25280769,"Is the risk of HIV transmission or death at 24 months higher, lower, or the same when comparing nevirapine plus zidovudine with dual prophylaxis up to 14 weeks to only single dose nevirapine plus one week zidovudine?",lower,moderate,21423025,no,
25280769,"Is the risk of HIV transmission at 24 months higher, lower, or the same when comparing nevirapine plus zidovudine with dual prophylaxis up to 14 weeks to only single dose nevirapine plus one week zidovudine?",lower,moderate,21423025,no,
25280769,"Is the risk of HIV infection or death higher, lower, or the same when comparing a maternal extended triple‐drug antiretroviral regimen to no extended postnatal antiretroviral regimen?",lower,moderate,20554982,no,
25280769,"Is the risk of HIV infection higher, lower, or the same when comparing a maternal extended triple‐drug antiretroviral regimen to no extended postnatal antiretroviral regimen?",lower,moderate,20554982,no,
25280769,"Is the risk of HIV infection higher, lower, or the same when comparing an extended infant nevirapine regimen to no extended postnatal antiretroviral regimen?",lower,low,20554982,no,
25280769,"Is the risk of HIV infection or death higher, lower, or the same when comparing an extended infant nevirapine regimen to no extended postnatal antiretroviral regimen?",lower,moderate,20554982,no,
25280769,"Is the risk of HIV infection higher, lower, or the same when comparing an extended infant nevirapine regimen to a maternal extended triple‐drug antiretroviral regimen?",no difference,moderate,20554982,no,
25280769,"Is the risk of HIV infection or death higher, lower, or the same when comparing an extended infant nevirapine regimen to a maternal extended triple‐drug antiretroviral regimen?",no difference,moderate,20554982,no,
33565123,"Is the coverage of appropriate treatment from an appropriate provider for any iCCM illness higher, lower, or the same when comparing iCCM to usual facility services plus CCM for malaria?",uncertain effect,very low,26787147,yes,
33565123,"Is the coverage of careseeking to an appropriate provider for any iCCM illness higher, lower, or the same when comparing iCCM to usual facility services plus CCM for malaria?",no difference,low,23136276,yes,
34753201,"Is the incidence of breast hematomas within 90 days of breast surgery higher, lower, or the same when comparing NSAIDs to placebo?",no difference,low,27935990,yes,Romundstad/16428536 used in original analysis but weight < 25%
34753201,"Is pain intensity 24 (± 12) hours following surgery higher, lower, or the same when comparing NSAIDs to placebo?",lower,low,"31800611, 16146476, 8770304",yes,8770304 and 16146476 both don't mention stats but they point toward the correct answer anyway
27915460,"Is the incidence of pneumonia higher, lower, or the same when comparing zinc supplementation to placebo?",lower,low,"9651405, 12052800, 16168782, 17593956",no,Penny and Bobat excluded due to lack of specificity/statistical detail (14.5% weight)
31930743,"Is overall survival higher, lower, or the same when comparing cisplatin in combination with third‐generation drugs to carboplatin in combination with third‐generation drugs?",no difference,high,"12928123, 11784875, 28643733, 12377641, 12826316, 12837811, 17409843",no,Sweeney/11745199 excluded for lack of detail
31930743,"Is response rate higher, lower, or the same when comparing cisplatin in combination with third‐generation drugs to carboplatin in combination with third‐generation drugs?",no difference,high,"12928123, 11784875, 28643733, 12377641, 12826316, 12837811, 17409843, 28780466, 21047474, 11745199, 21333222",no,
29067682,"Is the rate of 50% or greater reduction in seizure frequency higher, lower, or the same when comparing eslicarbazepine acetate (ESL) of any dose to placebo?",higher,moderate,"20299189, 17319919, 19243424, 19832771, 25528898",no,
29067682,"Is the rate of study withdrawal due to adverse effects higher, lower, or the same when comparing eslicarbazepine acetate (ESL) of any dose to placebo?",higher,moderate,"20299189, 17319919, 19243424, 19832771, 25528898",yes,fulltext needed for 25528898; 19832771/Gil-Nagel is included for context but does not clearly specify study withdrawal rates
27782297,"Is the overall cervical dystonia improvement higher, lower, or the same when comparing botulinum toxin type A (BtA) to botulinum toxin type B (BtB)?",higher,low,"16275831, 18098274",no,
27782297,"Is the rate of dysphagia higher, lower, or the same when comparing botulinum toxin type A (BtA) to botulinum toxin type B (BtB)?",no difference,low,"16275831, 18098274, 16157918",no,"relies on model inferring that in 16157918, dysphagia was an evaluated autonomic function with no significant difference found"
27782297,"Is the risk of treatment‐related sore throat/dry mouth higher, lower, or the same when comparing botulinum toxin type A (BtA) to botulinum toxin type B (BtB)?",lower,moderate,"16275831, 18098274",no,
25620061,"Is the overall survival rate higher, lower, or the same when comparing percutaneous ethanol injection (PEI) to percutaneous acetic acid injection (PAI)?",no difference,low,"9425919, 16009687",no,
25620061,"Is the overall survival rate higher, lower, or the same when comparing percutaneous ethanol injection (PEI) to surgery?",no difference,very low,15973099,no,
31608991,"Is the risk of seizure recurrence higher, lower, or the same when comparing six months of treatment to 12-24 months treatment?",no difference,low,"16441247, 12134175, 12134176",no,
31608991,"Is the risk of seizure recurrence higher, lower, or the same when comparing 6-12 months of treatment to 24 months of treatment?",no difference,low,"16441247, 14604159, 12134175",no,
29464690,"Is the duration of mechanical ventilation higher, lower, or the same when comparing bispectral index (BIS) monitoring to clinical assessment for sedation?",no difference,low,"17444309, 21473824",no,
29464690,"Is the incidence of restlessness after suction higher, lower, or the same when comparing bispectral index (BIS) monitoring to clinical assessment for sedation?",uncertain effect,very low,21473824,no,requires the model to be skeptical of the sample size and for failing to consider whether the adverse events were clinically relevant
29464690,"Is the incidence of delirium after extubation higher, lower, or the same when comparing bispectral index (BIS) monitoring to clinical assessment for sedation?",uncertain effect,very low,21473824,no,requires the model to be skeptical of the sample size and for failing to consider whether the adverse events were clinically relevant
29464690,"Is the incidence of endotracheal tube resistance higher, lower, or the same when comparing bispectral index (BIS) monitoring to clinical assessment for sedation?",uncertain effect,very low,21473824,no,requires the model to be skeptical of the sample size and for failing to consider whether the adverse events were clinically relevant
30566235,"Is improvement in depression symptoms higher, lower, or the same when comparing SSRIs to placebo?",no difference,very low,"25308771, 17136950",no,
29963686,"Is the risk of major postoperative bleeding requiring intervention higher, lower, or the same when comparing tranexamic acid (TXA) to placebo?",lower,moderate,"2648144, 8229393",no,
31038197,"Is the risk of developing microbiologically confirmed tuberculosis higher, lower, or the same when comparing MVA85A added to BCG to BCG alone?",no difference,moderate,"25726088, 23391465",yes,
31038197,"Is the risk of developing latent tuberculosis higher, lower, or the same when comparing MVA85A added to BCG to BCG alone? ",no difference,moderate,"25726088, 23391465, 29028973",yes,21606542/scriba omitted with 0.3% weight
31038197,"Is the risk of life‐threatening serious adverse effects higher, lower, or the same when comparing MVA85A added to BCG to BCG alone?",no difference,high,"25726088, 23391465, 29028973",yes,
31038197,"Is the risk of starting on tuberculosis treatment higher, lower, or the same when comparing MVA85A added to BCG to BCG alone?",no difference,moderate,"25726088, 23391465, 29028973",yes,
28535331,"Is improvement in health status up to 6 months (as measured by improvement on both CCQ and SGRQ) higher, lower, or the same when comparing smart technology for self‐management to face‐to‐face/digital and/or written support for self‐management?",higher,low,"27502583, 26089656, 24293120",yes,
28535331,"Is the risk of adverse events higher, lower, or the same when comparing smart technology for self‐management to face‐to‐face/digital and/or written support for self‐management?",higher,n/a,27502583,yes,
28535331,"Is activity level up to 6 months higher, lower, or the same when comparing smart technology for self‐management to face‐to‐face/digital and/or written support for self‐management?",higher,low,"25811395, 27502583",no,
28535331,"Is activity level at 12 months higher, lower, or the same when comparing smart technology for self‐management to face‐to‐face/digital and/or written support for self‐management?",no difference,n/a,25811395,no,
28535331,"Is the risk of hospital admission by 12 months higher, lower, or the same when comparing smart technology for self‐management to face‐to‐face/digital and/or written support for self‐management?",no difference,low,27502583,yes,
28535331,"Is smoking cessation higher, lower, or the same when comparing smart technology for self‐management to face‐to‐face/digital and/or written support for self‐management?",no difference,moderate,26089656,no,
31120132,"Is malaria parasite prevalence higher, lower, or the same when comparing non‐pyrethroid‐like indoor residual spraying (IRS) plus insecticide‐treated nets (ITNs) to insecticide‐treated nets (ITNs) alone?",lower,low,"29229808, 22682536, 24736370, 29655496, 22682536",yes, 22682536/corbel is vague and has no fulltext but is included because it's relevant
31120132,"Is malaria incidence higher, lower, or the same when comparing non‐pyrethroid‐like indoor residual spraying (IRS) plus insecticide‐treated nets (ITNs) to insecticide‐treated nets (ITNs) alone?",uncertain effect,very low,"29229808, 22682536",no,uncertainty due to wide CIs and for significant inconsistencies between trials
31120132,"Is anaemia prevalence higher, lower, or the same when comparing non‐pyrethroid‐like indoor residual spraying (IRS) plus insecticide‐treated nets (ITNs) to insecticide‐treated nets (ITNs) alone?",lower,low,"24736370, 29655496",yes,
31120132,"Is malaria incidence higher, lower, or the same when comparing pyrethroid‐like indoor residual spraying (IRS) plus insecticide‐treated nets (ITNs) to insecticide‐treated nets (ITNs) alone?",no difference,moderate,"25498847, 29229808",no,
31120132,"Is malaria parasite prevalence higher, lower, or the same when comparing pyrethroid‐like indoor residual spraying (IRS) plus insecticide‐treated nets (ITNs) to insecticide‐treated nets (ITNs) alone?",no difference,moderate,"25498847, 29229808, 21565149",no,Kafy/29229808 requires fulltext for this question but weight is <10%
31829446,"Is the rate of major complications higher, lower, or the same when comparing restrictive fluid therapy (RFT) to goal‐directed fluid therapy (GDFT)?",uncertain effect,very low,"26471495, 22710266, 25595308, 25342408, 23132508",yes,23132508/Srinivasa is a bit vague but included for context
31829446,"Is the length of hospital stay higher, lower, or the same when comparing restrictive fluid therapy (RFT) to goal‐directed fluid therapy (GDFT)?",no difference,very low,"23070341, 26471495, 22710266, 25342408, 23132508",yes,
26904970,"Is survival to hospital discharge higher, lower, or the same when comparing biphasic waveform defibrillation to monophasic waveform defibrillation?",no difference,n/a,"11719116, 17060379, 12867305, 15992986",no,
26904970,"Is survival to hospital admission higher, lower, or the same when comparing biphasic waveform defibrillation to monophasic waveform defibrillation?",no difference,n/a,"11719116, 17060379",no,van Alem/12867305 omitted because it does not specify hospital admission rate but has only 13% weight
31557310,"Is the incidence of surgical site infection (SSI) for patients undergoing breast cancer surgery without reconstruction higher, lower, or the same when comparing prophylactic antibiotics administered preoperatively to no antibiotic or placebo?",lower,moderate,"11063500, 23001082, 16989011, 7480237, 9776150, 23052809, 10873356, 19673597, 2403655, 2403697",no,
31557310,"Is the rate of hospital readmission higher, lower, or the same when comparing prophylactic antibiotics administered preoperatively to placebo?",uncertain effect,low,"9776150, 2403655",no,
31557310,"Is the incidence of surgical site infection (SSI) for patients undergoing breast cancer surgery without reconstruction higher, lower, or the same when comparing prophylactic antibiotics administered preoperatively to no antibiotic?",lower,moderate,"11063500, 23001082, 16989011",no,
31557310,"Is the incidence of surgical site infection (SSI) for patients undergoing breast cancer surgery without reconstruction higher, lower, or the same when comparing prophylactic antibiotics administered preoperatively to placebo?",lower,moderate,"7480237, 9776150, 23052809, 10873356, 19673597, 2403655, 2403697",no,
31557310,"Is the cost of care higher, lower, or the same when comparing prophylactic antibiotics administered preoperatively to no antibiotic or placebo?",uncertain effect,low,"23001082, 9776150",no,original authors did not pool due to heterogeneity and lack of detail
32068247,"Is the likelihood of detoxification at six‐month follow‐up higher, lower, or the same when comparing dihydrocodeine (DHC) to buprenorphine?",no difference,low,"19196468, 17210079",no,
32068247,"Is the likelihood of treatment retention higher, lower, or the same when comparing dihydrocodeine (DHC) to buprenorphine?",no difference,low,"19196468, 17210079",yes,
30746689,"Is the time to postvoid residual volume of urine ≤ 50 mL higher, lower, or the same when comparing nerve‐sparing radical hysterectomy to standard radical hysterectomy?",lower,low,"22209773, 25872890",no,
30746689,"Is the likelihood of disease-free survival higher, lower, or the same when comparing nerve‐sparing radical hysterectomy to standard radical hysterectomy?",no difference,very low,25872890,no,
37162250,"Is functional capacity higher, lower, or the same when comparing prehabilitation to no prehabilitation before colorectal cancer surgery?",higher,very low,"29327644, 25076007",no,
37162250,"Is the risk of complications higher, lower, or the same when comparing prehabilitation to no prehabilitation before colorectal cancer surgery?",no difference,low,"31968063, 25076007",no,29327644 omitted with 18.4% weight
36200610,"Is moderate to severe anaemia prevalence higher, lower, or the same when comparing house modifications to no modifications?",lower,high,"33838737, 19732949, 33640067",yes,
36200610,"Is malaria parasite prevalence higher, lower, or the same when comparing housing modifications to no modifications?",lower,moderate,"19732949, 34022912, 35437129, 32950061, 33838737",yes,
36200610,"Is clinical malaria incidence higher, lower, or the same when comparing housing modifications to no modifications?",uncertain effect,very low,"29452110, 33838737, 33640067",no,fulltext is available
36200610,"Is indoor adult mosquito density higher, lower, or the same when comparing housing modifications to no modifications?",lower,low,"19732949, 34022912, 33640067, 33838737",yes,
32104914,"Is global cognitive function level at the end of intervention higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to active control interventions?",higher,low,"21311196, 29261218",no,
32104914,"Is speed of processing at the end of intervention higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to active control interventions?",uncertain effect,very low,"23531885, 27698558",yes,"""We downgraded the evidence for imprecision, inconsistency, and risk of bias. Therefore we are very uncertain of this result."""
32104914,"Is episodic memory at the end of intervention higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to no intervention?",higher,low,20418350,no,
32104914,"Is speed of processing at the end of intervention higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to no intervention?",uncertain effect,very low,"23531885, 25511081",yes,"""We downgraded the evidence for imprecision, inconsistency, and risk of bias. Therefore we are very uncertain of this result."""
32104914,"Is working memory at the end of intervention higher, lower, or the same when comparing computerised cognitive training (CCT) of at least 12 weeks to no intervention?",no difference,low,23531885,yes,
38197546,"Is the risk of cholera at two-year follow-up higher, lower, or the same when comparing two doses of Dukoral with or without a booster dose to placebo?",lower,high,"7967990, 10823767",no,
38197546,"Is the risk of cholera at two-year follow-up higher, lower, or the same when comparing two doses of Shanchol to placebo?",lower,moderate,"19819004, 26164097",no,
38197546,"Is the risk of cholera at five-year follow-up higher, lower, or the same when comparing two doses of Shanchol to placebo?",lower,high,"24140390, 29463233",no,
38197546,"Is the risk of cholera at two-year follow-up higher, lower, or the same when comparing one dose of Shanchol to placebo?",lower,high,29550406,no,
38197546,"Is the risk of severe dehydrating cholera at two-year follow-up higher, lower, or the same when comparing one dose of Shanchol to placebo?",lower,high,29550406,no,
36637057,"Is vision-related quality of life higher, lower, or the same when comparing telerehabilitation with a therapist to self-guided training?",no difference,very low,34081648,yes,
36637057,"Is device abandonment after 2 weeks higher, lower, or the same when comparing telerehabilitation with a therapist to self-guided training?",lower,very low,34081649,yes,
36637057,"Is device abandonment after 3 months higher, lower, or the same when comparing telerehabilitation with a therapist to self-guided training?",no difference,very low,34081649,yes,
32898300,"Is weight by 30 days of age higher, lower, or the same when comparing carbohydrate supplementation to no supplementation?",higher,very low,25538834,yes,
32898300,"Is the risk of feeding intolerance higher, lower, or the same when comparing carbohydrate supplementation to no supplementation?",no difference,very low,25538834,yes,
32898300,"Is the risk of necrotising enterocolitis (NEC) higher, lower, or the same when comparing carbohydrate supplementation to no supplementation?",no difference,very low,25538834,no,original paper authors use hazard ratio and claim significant difference; cochrane authors use risk ratio and find no significant difference
27078125,"Is the risk of severe post-partum haemorrhage (PPH) higher, lower, or the same when comparing oxytocin to no intervention?",no difference,very low,24130463,yes,
27078125,"Is the risk of PPH (> 500 mL)  higher, lower, or the same when comparing oxytocin to no intervention?",lower,low,24130463,no,
27078125,"Is transfer or referral of the mother to a healthcare facility higher, lower, or the same when comparing oxytocin to no intervention?",no difference,low,24130463,yes,
27078125,"Is the risk of stillbirth higher, lower, or the same when comparing oxytocin to no intervention?",no difference,low,24130463,yes,
27078125,"Is the risk of early infant death (0-3 days) higher, lower, or the same when comparing oxytocin to no intervention?",no difference,low,24130463,yes,
30590875,"Is the risk of gingivitis higher, lower, or the same when comparing scaling and polishing at a reguarly-scheduled 6 month interval to no yearly-or-shorter schedule for scaling and polishing?",no difference,high,"22204658, 29984691",no,
30590875,"Is the risk of gingivitis higher, lower, or the same when comparing scaling and polishing at a reguarly-scheduled 12 month interval to no yearly-or-shorter schedule for scaling and polishing?",no difference,high,"22204658, 29984691",no,
30590875,"Is the risk of gingivitis higher, lower, or the same when comparing scaling and polishing at a 6 month interval to scaling and polishing at a 12 month interval?",no difference,high,"22204658, 29984691",no,
33631841,"Is the likelihood of 4‐point improvement in SELENA‐SLEDAI higher, lower, or the same when comparing belimumab to placebo?",higher,high,"29295825, 28118533, 21296403, 22127708",no,fulltext available but not needed for some studies
33631841,"Is the risk of one or more serious adverse events higher, lower, or the same when comparing belimumab to placebo?",no difference,low,"19714604, 28118533, 22127708, 21296403, 29295825",yes,
33631841,"Is the risk of one or more serious infections higher, lower, or the same when comparing belimumab to placebo?",no difference,moderate,"19714604, 28118533, 22127708, 21296403",yes,
24477672,"Is the incidence of critical illness polyneuropathy/myopathy (CIP/CIM) higher, lower, or the same when comparing intensive insulin therapy (IIT) to conventional insulin therapy (CIT)?",lower,moderate,"17138955, 15851721",no,
24477672,"Is duration of mechanical ventilation higher, lower, or the same when comparing intensive insulin therapy (IIT) to conventional insulin therapy (CIT)?",lower,high,"17138955, 15851721",no,
24477672,"Is mortality rate at 180 days higher, lower, or the same when comparing corticosteroids to placebo?",no difference,high,16625008,no,
24477672,"Is the incidence of critical illness polyneuropathy/myopathy (CIP/CIM) higher, lower, or the same when comparing electrical muscle stimulation (EMS) to no stimulation?",no difference,very low,20426834,no,fulltext available but not needed; cochrane authors disagree with assessment of the original paper authors
26689943,"Is the rate of all‐cause hospital admission higher, lower, or the same when comparing nurse-led titration (NLT) to usual care?",lower,high,"16908918, 25248944, 23150980",no,"12756157 omitted with 12% weight, 25248944 requires fulltext, "
37497816,"Is time to complete ulcer healing higher, lower, or the same when comparing combined endovenous ablation and compression to compression therapy without or with deferred endovenous treatment?",lower,high,"29688123, 32928070",no,
37497816,"Is ulcer recurrence higher, lower, or the same when comparing combined endovenous ablation and compression to compression therapy without or with deferred endovenous treatment?",uncertain effect,low,"32965493, 32928070",yes,
34002371,"Is the risk of stroke higher, lower, or the same when comparing rivaroxaban to placebo?",lower,moderate,31461239,yes,
29446439,"Is the proportion of children wearing spectacles higher, lower, or the same when comparing vision screening with free spectacles to vision screening with spectacles by prescription only?",higher,high,"18156372, 25249453",no,fulltext for 25249453 is available but not needed
29446439,"Is educational attainment higher, lower, or the same when comparing vision screening with free spectacles to vision screening with spectacles by prescription only?",higher,low,25249453,yes,
32352165,"Is the risk of major bleeding higher, lower, or the same when comparing aspirin to placebo?",higher,high,30221596,no,
32352165,"Is the risk of dementia higher, lower, or the same when comparing aspirin to placebo?",no difference,high,30221596,no,
32352165,"Is the risk of mortality higher, lower, or the same when comparing aspirin to placebo?",higher,high,30221596,no,cochrane authors interpret results differently than the original paper authors
32352165,"Is the incidence of myocardial infarction higher, lower, or the same when comparing NSAIDs to placebo?",no difference,moderate,17111043,yes,
32352165,"Is the risk of mortality higher, lower, or the same when comparing NSAIDs to placebo?",no difference,moderate,17111043,yes,
32352165,"Is the incidence of Alzheimer's disease higher, lower, or the same when comparing NSAIDs to placebo?",no difference,moderate,17111043,yes,
32352165,"Is the risk of stroke higher, lower, or the same when comparing NSAIDs to placebo?",no difference,moderate,17111043,yes,
32352165,"Is the incidence of Alzheimer's disease in patients with mild cognitive impairment higher, lower, or the same when comparing rofecoxib to placebo?",higher,moderate, 15742005,no,
31032883,"Is the overall risk of developing breast cancer higher, lower, or the same when comparing tamoxifen to placebo?",lower,moderate,"16288118, 25497694",no,17312305 omitted with 13.9% weight
31032883,"Is the risk of developing invasive breast cancer higher, lower, or the same when comparing tamoxifen to placebo?",lower,moderate,"16288118, 25497694, 17312305",no,
31032883,"Is the overall risk of breast cancer higher, lower, or the same when comparing aromatase inhibitors (AIs) to placebo?",lower,high,"21639806, 24333009",no,
31032883,"Is the overall risk of developing breast cancer higher, lower, or the same when comparing raloxifene to tamoxifen?",higher,moderate,20404000,no,
31032883,"Is the risk of developing invasive breast cancer higher, lower, or the same when comparing raloxifene to tamoxifen?",higher,moderate,20404000,no,
34850380,"Is the likelihood of good functional outcome higher, lower, or the same when comparing endovascular thrombectomy to control?",higher,high," 29129157, 29364767",no,
34850380,"Is the risk of death at 90 days higher, lower, or the same when comparing endovascular thrombectomy to control?",no difference,high,"29129157, 29364767",no,
34850380,"Is the likelihood of good functional outcome higher, lower, or the same when comparing intravenous thrombolytic treatment to control?",higher,high,"30947642, 31067369, 21808985, 32248771, 29766770",no,fulltext for 32248771 available but not needed for 75% weight
34850380,"Is the risk of death at 90 days higher, lower, or the same when comparing intravenous thrombolytic treatment to control?",no difference,high,"30947642, 31067369, 21808985, 32248771, 29766770",no,fulltext for 32248771 available but not needed for 75% weight; the death count is also different than what is reported in the meta review? but conclusions are the same
28349529,"Is survival to hospital discharge higher, lower, or the same when comparing untrained bystander CPR with continuous chest compression to untrained bystander CPR with chest compression interrupted with pauses for rescue breathing?",higher,high,"10824072, 20818863, 20818864",no,interesting one because none of the studies individually found a significant difference
28349529,"Is the likelihood of survival to hospital discharge higher, lower, or the same when comparing continuous chest compression CPR with asynchronous rescue breathing to interrupted chest compression plus rescue breathing?",lower,moderate,26550795,no,
28349529,"Is the likelihood of favorable neurological outcome higher, lower, or the same when comparing continuous chest compression CPR with asynchronous rescue breathing to interrupted chest compression plus rescue breathing?",no difference,high,26550795,no,
24809657,"Is pain relief higher, lower, or the same when comparing 120 mg etoricoxib to placebo?",higher,high,"15333415, 21188849, 15100590, 15220011, 15881486, 16192529",no,
28829911,"Is overall survival higher, lower, or the same when comparing chemoradiotherapy plus esophagectomy to chemoradiotherapy alone?",no difference,high,"17401004, 15800321",no,
28829911,"Is the risk of treatment‐related mortality higher, lower, or the same when comparing chemoradiotherapy plus esophagectomy to chemoradiotherapy alone?",higher,low,"17401004, 15800321",no,
28829911,"Is short-term quality of life higher, lower, or the same when comparing chemoradiotherapy plus esophagectomy to chemoradiotherapy alone?",lower,very low,16524973,no,
